fin,provincia,inicio,nombre
1983,Azuay,1978,Xavier Muñoz
1984,Azuay,1983,Nicanor Merchán Luco
1987,Azuay,1984,Leonardo Alvarado
1988,Azuay,1987,Franklin Durán
1991,Azuay,1988,Ítalo Ordóñez
1992,Azuay,1991,Mario Molina
1996,Azuay,1992,Alejandro Corral
2004,Azuay,1996,Marcelo Cabrera
2005,Azuay,2004,Oswaldo Flores
,Azuay,2005,Paúl Carrasco
1947,Pichincha,1946,
1947,Pichincha,1946,
1947,Pichincha,1946,Mariano Suárez Veintimilla
1947,Pichincha,1946,Manuel Freire
1947,Pichincha,1946,Luis Bossano
1947,Pichincha,1946,José Moreno
1947,Pichincha,1946,Benjamín Terán Varea
1947,Pichincha,1946,Eduardo Nájera Espinosa
1947,Pichincha,1946,Manuel Navarro
1947,Pichincha,1946,Manuel Jijón Caamaño
1947,Pichincha,1946,Guillermo Cabrera
1947,Pichincha,1946,Luis Merlo
1947,Pichincha,1946,Manuel Tobar
1947,Pichincha,1946,Carlos Guerrero
1947,Pichincha,1946,Jorge Geotschel
1947,Pichincha,1946,Francisco Salazar
1947,Pichincha,1946,Hernán Escudero
1947,Pichincha,1946,Alfredo Reyes
1947,Pichincha,1946,Manuel Córdova Galarza
1947,Pichincha,1946,Álvaro Pérez Intriago
1947,Pichincha,1946,Agustín Patiño
1947,Pichincha,1946,Patricio Romero Barberis
1947,Pichincha,1946,Efrén Cocíos
1947,Pichincha,1946,Fabián Alarcón
1947,Pichincha,1946,Ricardo Moreno Cornejo
1947,Pichincha,1946,Eduardo Prócel
1947,Pichincha,1946,Marco Landázuri Romo
1947,Pichincha,1946,Federico Pérez Intriago
1947,Pichincha,1946,Víctor Quirola
1947,Pichincha,1946,Rafael Reyes Uribe
1947,Pichincha,1946,Ramiro González
1947,Pichincha,1946,Gustavo Baroja
2009,Santa Elena,2008,Ana Triviño
2014,Santa Elena,2009,Patricio Cisneros
1932,Esmeraldas,1930,
1932,Esmeraldas,1930,
1932,Esmeraldas,1930,Julio César Estupiñán
1932,Esmeraldas,1930,Ricardo Plaza
1932,Esmeraldas,1930,José María Taborda
1932,Esmeraldas,1930,
1932,Esmeraldas,1930,César Concha
1932,Esmeraldas,1930,Telémaco Cortés
1932,Esmeraldas,1930,Luis Alberto Díaz
1932,Esmeraldas,1930,Segundo Salas
1932,Esmeraldas,1930,Roberto Luis Cervantes
1932,Esmeraldas,1930,Daniel Álvarez Tenorio
1932,Esmeraldas,1930,Pedro Vicente Maldonado López
1932,Esmeraldas,1930,Rafael Aspiazu
1932,Esmeraldas,1930,René Rodríguez
1947,Guayas,1947,
1947,Guayas,1947,
1947,Guayas,1947,Ernesto Jouvín
1932,Esmeraldas,1930,Gregorio Camacho
1932,Esmeraldas,1930,Gonzalo Gutiérrez
1932,Esmeraldas,1930,Bolívar Drouet
1932,Esmeraldas,1930,Jorge Jalil
1932,Esmeraldas,1930,Tiberio Patiño
1932,Esmeraldas,1930,Maximiliano Haas
1932,Esmeraldas,1930,Luis Alberto Raad
1947,Guayas,1947,Antonio Moya
1947,Guayas,1947,Alejandro Teodoro Ponce Luque
1947,Guayas,1947,Ricardo Tola Carbo
1947,Guayas,1947,Guillermo Gallardo Cordova
1947,Guayas,1947,Augusto Alvarado Olea
1947,Guayas,1947,César Amador Baquerizo
1947,Guayas,1947,Amalio Puga Pastor
1932,Esmeraldas,1930,Luis Zatizabal
1932,Esmeraldas,1930,Ricardo Estupiñán
1932,Esmeraldas,1930,Francisco Mejía Villa
1932,Esmeraldas,1930,Jorge Campaín
1932,Esmeraldas,1930,Jorge Chiriboga
1932,Esmeraldas,1930,Francisco Mejía Villa
1970,Imbabura,1967,Eduardo Garzón Fonseca
1973,Imbabura,1971,Abdón Montalvo Rhea
1983,Imbabura,1978,Víctor Alejandro Jaramillo
1984,Imbabura,1983,Segundo Obando
1988,Imbabura,1984,Luis Mejía Montesdeoca
1992,Imbabura,1988,Luis Muñoz Herrería
2000,Orellana,1999,Daniel Lozada Cortez
2005,Orellana,2004,Colón Caicedo
2008,Orellana,2005,Guadalupe Llori
2009,Orellana,2008,Alberto Zambrano
2014,Orellana,2009,Guadalupe Llori
1947,Guayas,1947,Bolívar San Lucas Zavala
1947,Guayas,1947,Alejandro Aguilar Ruilova
1947,Guayas,1947,Galo A. Garay Vargas
1947,Guayas,1947,Assad Bucaram Elmhalin
1947,Guayas,1947,Jorge Yunes Huésped
1947,Guayas,1947,Rafael Dillon Valdez
1947,Guayas,1947,Augusto Barreiro Solórzano
1947,Guayas,1947,Bolívar San Lucas Zavala
1932,Esmeraldas,1930,David Medina Rojas
1932,Esmeraldas,1930,Carlos Saúd
1932,Esmeraldas,1930,René Rhor
1932,Esmeraldas,1930,Homero López
1932,Esmeraldas,1930,Lucía Sosa
1932,Esmeraldas,1930,Rafael Erazo
1984,Los Ríos,1978,Alberto Andrade Fajardo
1988,Los Ríos,1984,Antonio Sotomayor
1992,Los Ríos,1988,Jorge Yánez
1996,Los Ríos,1992,Oscar Llerena
2000,Los Ríos,1997,7 prefectos de transición
2005,Los Ríos,2000,Jorge Marún
1996,Imbabura,1992,Luis Mejía Montesdeoca
2000,Imbabura,1997,Gustavo Pareja
2009,Imbabura,2009,Washington Barreno
2014,Imbabura,2009,Diego García Pozo
1947,Guayas,1947,Julio Vinueza Moscoso
1947,Guayas,1947,Walter Franco Egüez
1947,Guayas,1947,Roberto Béjar Suéscum
1947,Guayas,1947,Raúl Baca Carbo
1947,Guayas,1947,Fernando Abad Montero
1947,Guayas,1947,Guido Chiriboga Parra
1947,Guayas,1947,Alfredo Adum Ziade
1947,Guayas,1947,Carlos Hidalgo Villacis
1968,Napo,1967,Misael Espín Morán
1970,Napo,1968,Enrique Espinosa de los Monteros
1976,Napo,1970,Ney Estupiñán Recalde
1978,Napo,1976,Danilo Jurado Yépez
1983,Napo,1978,Edgar Santillán
1932,Esmeraldas,1930,Lucía Sosa
1970,Morona Santiago,1967,Ernesto Olmedo Lara
1972,Morona Santiago,1970,Luis Zúñiga T.
1976,Morona Santiago,1972,Avelino Jaramillo
1977,Morona Santiago,1976,Luis A. Rivadeneira
1978,Morona Santiago,1977,Washington Ricaurte
1984,Morona Santiago,1978,Ernesto Olmedo Lara
1987,Morona Santiago,1984,Carlos Medina
2009,Los Ríos,2007,Bonifacio Morán
2014,Los Ríos,2009,Marco Troya
2009,Santo Domingo de los Tsáchilas,2008,Geovanny Benítez
1947,Guayas,1947,Nicolás Lapentti Carrión
1947,Guayas,1947,Jaime Nogales Torres
1947,Guayas,1947,Jimmy Jairala
1984,Napo,1983,Gustavo Ruíz Terán
1987,Napo,1984,Jorge González Granda
1988,Napo,1987,César Andy Tapuy
1992,Napo,1988,Wilson Barrionuevo Sánchez
1996,Napo,1992,Eduardo Vayas
2000,Napo,1996,Edison Chávez
2009,Napo,2005,Gina Sanmiguel
2014,Napo,2009,Sergio Chacón
1988,Morona Santiago,1987,Oscar Pozo
1992,Morona Santiago,1988,Enrique Meza Arcos
